MPG Variable,Regulatory Class,Model Year,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,35 to 40,40 to 45,45 to 50,50 to 55,55 to 60,60 to 65,65 to 70,70 to 75,75 to 80,80 to 85,85 to 90,90 to 95,95 to 100,100 to 105,105 to 110,110 to 115,120 to 125,125 to 130,130 to 135,135 to 140,140 to 145,145 to 150,150 to 155,155 to 160,160 to 165,165 to 170,170 to 175,175 to 180,180 to 185,185 to 190,190 to 195,195 to 200,200 to 205,205 to 210,210 to 215,215 to 220,220 to 225
"2-Cycle MPG","Truck","2009","-","-","-","13.5%","57.9%","23.6%","4.4%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2010","-","-","-","16.7%","50.9%","21.7%","10.0%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2011","-","0.0%","0.0%","10.8%","51.8%","22.6%","14.5%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2012","-","-","0.0%","10.2%","48.2%","29.6%","11.7%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2013","-","-","0.0%","7.6%","45.1%","28.3%","17.2%","1.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2014","-","-","0.0%","5.0%","40.5%","32.2%","17.5%","4.7%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2015","-","-","-","2.2%","37.4%","33.4%","14.4%","12.4%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2016","-","-","-","2.1%","34.1%","37.5%","12.7%","12.8%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2017","-","-","0.0%","2.0%","31.4%","39.9%","14.1%","9.8%","2.6%","0.0%","-","-","-","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2018","-","-","0.0%","2.0%","28.4%","36.6%","16.9%","12.3%","3.5%","0.0%","0.0%","-","-","-","-","0.2%","-","-","-","-","-","-","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2019","-","-","0.0%","1.9%","26.1%","38.7%","15.9%","13.1%","3.2%","0.0%","-","0.9%","-","-","0.1%","-","-","-","-","0.1%","-","0.0%","-","0.0%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2020","-","-","-","1.7%","21.3%","37.9%","20.3%","14.1%","2.0%","0.5%","0.4%","1.6%","-","-","0.2%","-","-","-","-","-","0.0%","0.0%","-","0.0%","0.0%","-","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2021","-","-","-","2.4%","21.8%","32.1%","17.6%","14.7%","5.4%","2.2%","1.3%","1.7%","0.0%","-","0.3%","-","-","-","-","0.2%","0.2%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1975","-","0.5%","51.8%","26.9%","13.7%","5.1%","2.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1976","-","0.0%","34.1%","42.3%","11.8%","8.8%","2.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1977","-","0.1%","23.2%","51.8%","10.1%","8.2%","4.8%","0.8%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1978","-","0.0%","17.6%","45.1%","19.8%","9.9%","4.5%","2.6%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1979","-","0.3%","14.9%","43.8%","23.2%","11.5%","5.1%","0.8%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1980","-","0.0%","3.0%","24.1%","36.3%","23.2%","10.1%","1.7%","1.5%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1981","-","-","1.3%","16.8%","35.4%","24.7%","14.6%","4.7%","1.6%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1982","-","0.0%","1.6%","18.7%","27.2%","26.5%","18.0%","5.7%","1.5%","0.6%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1983","-","0.0%","1.6%","17.0%","33.3%","19.3%","18.5%","8.1%","1.7%","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1984","-","0.0%","1.8%","14.2%","34.3%","22.3%","19.3%","5.3%","2.1%","0.5%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1985","-","0.0%","1.8%","8.7%","41.7%","15.7%","24.3%","5.9%","0.9%","0.6%","0.0%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1986","-","0.0%","0.8%","9.7%","30.3%","31.5%","18.9%","6.1%","1.3%","1.1%","0.2%","0.0%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1987","-","0.0%","0.8%","7.7%","30.0%","28.7%","24.7%","6.4%","0.7%","0.7%","0.2%","0.0%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1988","-","0.0%","0.7%","11.4%","24.4%","29.9%","25.1%","5.6%","1.4%","1.1%","0.1%","0.0%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1989","-","0.0%","0.9%","11.0%","27.0%","33.7%","20.6%","5.0%","0.8%","0.8%","-","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1990","-","-","1.0%","11.2%","24.9%","39.7%","17.5%","4.5%","0.7%","0.1%","0.0%","0.2%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1991","-","-","0.4%","9.8%","30.5%","34.8%","17.3%","5.2%","1.4%","0.1%","0.1%","0.4%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1992","-","-","0.4%","13.5%","32.6%","32.5%","14.5%","4.6%","1.1%","0.2%","0.4%","0.1%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1993","-","-","0.1%","13.6%","27.8%","36.4%","15.6%","4.8%","1.1%","0.1%","0.1%","0.3%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1994","-","-","0.0%","15.6%","32.6%","32.0%","14.2%","4.0%","0.8%","0.2%","0.1%","0.3%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1995","-","-","0.1%","17.7%","25.2%","35.7%","13.7%","6.2%","0.9%","0.3%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1996","-","-","0.4%","14.7%","29.2%","34.7%","13.9%","5.9%","0.8%","0.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1997","-","-","0.0%","17.3%","29.5%","31.5%","14.6%","6.1%","0.7%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1998","-","-","0.0%","15.0%","30.8%","34.3%","12.9%","6.6%","0.2%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","1999","-","-","0.0%","18.4%","29.3%","35.7%","10.7%","5.7%","0.1%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2000","-","-","0.0%","16.7%","30.8%","36.1%","11.5%","4.5%","0.2%","0.0%","0.1%","-","-","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2001","-","-","0.0%","19.0%","28.8%","33.4%","12.9%","4.7%","0.9%","0.0%","0.1%","0.1%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2002","-","-","0.0%","22.7%","26.5%","31.8%","14.1%","4.0%","0.6%","0.0%","0.1%","0.1%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2003","-","-","0.0%","21.1%","27.3%","31.1%","14.3%","5.0%","0.8%","0.0%","0.1%","0.3%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2004","-","-","0.0%","21.8%","29.4%","29.3%","13.3%","5.1%","0.5%","0.1%","-","0.1%","-","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2005","-","-","0.0%","18.1%","28.8%","29.9%","15.0%","6.4%","0.6%","0.1%","-","0.2%","-","0.8%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2006","-","-","0.0%","14.8%","30.0%","30.8%","15.7%","7.1%","0.7%","0.0%","-","0.2%","-","0.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2007","-","-","0.0%","11.6%","32.8%","27.2%","16.4%","8.8%","1.5%","0.5%","-","0.2%","-","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2008","-","-","0.0%","9.1%","31.7%","30.2%","16.2%","9.5%","1.4%","0.4%","-","0.2%","-","1.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2009","-","-","0.0%","4.7%","23.3%","28.7%","24.8%","11.3%","5.2%","0.9%","-","0.2%","-","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2010","-","-","0.0%","6.4%","22.3%","24.4%","23.4%","17.9%","1.6%","0.9%","0.3%","0.5%","-","-","2.3%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2011","-","0.0%","0.0%","4.7%","24.7%","25.9%","25.5%","13.9%","2.9%","0.5%","0.4%","0.2%","-","-","1.1%","0.0%","-","0.0%","-","-","-","-","-","0.0%","-","-","-","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2012","-","-","0.0%","3.8%","19.7%","22.5%","23.8%","13.9%","12.1%","1.1%","0.7%","0.7%","0.1%","-","1.3%","0.0%","0.1%","0.1%","-","-","0.0%","0.0%","0.0%","-","-","-","-","0.1%","0.0%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2013","-","-","0.0%","2.9%","18.1%","20.1%","24.7%","13.7%","15.4%","1.5%","0.4%","1.2%","0.1%","-","1.5%","-","0.1%","0.0%","0.2%","-","-","0.0%","0.1%","-","-","-","-","-","0.0%","0.0%","-","0.2%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2014","-","-","0.0%","2.1%","18.2%","22.5%","23.3%","14.7%","13.0%","3.1%","0.6%","0.9%","0.0%","0.1%","1.1%","-","0.1%","0.0%","0.2%","-","-","0.0%","0.1%","0.0%","-","0.0%","-","-","0.0%","0.0%","-","0.1%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2015","-","-","0.0%","1.0%","17.6%","21.1%","20.5%","19.2%","14.6%","2.6%","0.7%","0.5%","0.0%","0.1%","1.3%","-","0.0%","-","0.1%","-","-","-","0.0%","-","0.0%","0.1%","-","-","0.0%","0.0%","-","0.2%","0.1%","-","0.0%","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2016","-","-","-","1.0%","16.7%","22.1%","18.8%","20.3%","13.8%","4.8%","0.4%","0.6%","0.0%","-","0.8%","-","0.0%","0.0%","-","0.0%","-","-","0.1%","0.0%","0.1%","0.1%","0.0%","0.0%","0.0%","0.0%","-","0.1%","0.1%","-","0.0%","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","All","2017","-","-","0.0%","1.0%","16.0%","23.4%","20.2%","16.7%","14.8%","4.4%","0.3%","0.6%","0.4%","0.3%","0.5%","0.1%","0.0%","0.1%","0.0%","0.0%","0.0%","-","0.4%","0.0%","0.1%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1%","0.0%","0.2%","0.0%","-","-","-","-","0.0%","-","-","-","-"
"2-Cycle MPG","All","2018","-","-","0.0%","1.1%","15.6%","23.0%","19.4%","16.7%","15.8%","4.7%","0.2%","0.2%","0.6%","0.2%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","-","0.0%","-","0.1%","0.1%","-","0.1%","0.0%","0.0%","0.0%","0.1%","0.4%","0.1%","0.1%","-","0.4%","-","-","0.0%","-","-","-","-"
"2-Cycle MPG","All","2019","-","-","0.0%","1.1%","15.7%","24.7%","17.3%","17.6%","14.9%","4.7%","0.2%","0.8%","0.7%","0.2%","0.5%","0.2%","0.0%","0.0%","0.1%","0.1%","-","0.0%","0.0%","0.0%","0.1%","0.0%","0.0%","0.0%","0.1%","0.0%","0.1%","0.0%","0.3%","0.1%","0.0%","-","0.3%","-","-","0.0%","-","-","-","-"
"2-Cycle MPG","All","2020","-","-","0.0%","1.1%","13.1%","23.4%","19.2%","17.2%","12.7%","8.0%","0.8%","1.2%","0.4%","0.2%","0.5%","0.3%","0.0%","-","0.0%","0.1%","0.0%","0.0%","0.0%","0.0%","0.1%","-","0.0%","-","0.2%","0.0%","0.2%","0.3%","0.2%","0.3%","0.0%","-","0.0%","-","0.3%","-","-","-","-","-"
"2-Cycle MPG","All","2021","-","-","0.0%","1.6%","14.5%","21.8%","16.7%","15.9%","14.7%","6.9%","1.3%","1.3%","0.5%","0.3%","0.7%","0.3%","0.1%","-","0.0%","0.2%","0.1%","0.1%","0.1%","-","0.1%","0.1%","0.2%","0.2%","0.1%","0.1%","0.6%","0.0%","0.1%","-","0.9%","-","0.0%","0.4%","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1975","-","7.1%","53.8%","26.6%","10.0%","2.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1976","-","0.9%","47.2%","35.6%","10.7%","4.9%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1977","-","0.4%","38.9%","41.6%","9.5%","7.4%","1.0%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1978","-","0.3%","26.0%","49.0%","13.7%","6.1%","3.5%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1979","-","0.0%","18.6%","53.7%","15.1%","10.5%","1.7%","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1980","-","0.0%","5.5%","41.6%","33.8%","12.8%","4.4%","0.8%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1981","-","0.0%","2.5%","37.4%","29.3%","21.7%","5.9%","2.2%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1982","-","0.0%","1.4%","27.6%","33.1%","25.8%","9.2%","1.8%","0.8%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1983","-","0.0%","0.3%","34.8%","26.9%","22.4%","12.6%","2.4%","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1984","-","0.0%","0.0%","26.7%","33.4%","28.7%","7.6%","2.5%","0.8%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1985","-","0.0%","0.1%","30.1%","25.1%","33.8%","8.2%","1.4%","0.8%","0.1%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1986","-","0.0%","0.2%","19.3%","38.1%","29.5%","9.1%","1.8%","1.3%","0.5%","0.0%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1987","-","0.0%","0.1%","17.1%","35.2%","34.1%","11.1%","0.9%","0.9%","0.3%","-","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1988","-","0.0%","0.2%","16.4%","34.1%","34.7%","11.1%","1.4%","1.8%","0.2%","-","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1989","-","0.0%","0.2%","14.7%","42.6%","31.5%","8.3%","1.1%","1.1%","0.0%","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1990","-","0.0%","0.2%","14.0%","49.3%","26.2%","8.7%","1.1%","0.2%","0.0%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1991","-","0.0%","0.1%","18.1%","43.4%","26.5%","9.2%","1.8%","0.2%","0.6%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1992","-","0.0%","0.2%","21.1%","47.6%","20.7%","7.1%","2.2%","0.3%","0.6%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1993","-","0.0%","0.1%","17.4%","46.5%","26.0%","7.4%","1.7%","0.1%","0.2%","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1994","-","-","0.1%","18.1%","45.5%","27.1%","6.7%","1.5%","0.3%","0.1%","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1995","-","0.0%","0.1%","16.4%","46.4%","25.3%","9.7%","1.2%","0.4%","0.4%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1996","-","0.0%","0.1%","15.1%","50.0%","23.1%","9.9%","1.3%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1997","-","-","0.1%","15.0%","48.3%","24.4%","10.7%","1.3%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1998","-","-","0.1%","13.6%","47.0%","27.7%","10.3%","1.1%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","1999","-","0.0%","0.0%","14.0%","53.3%","23.1%","8.8%","0.5%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","2000","-","0.0%","0.1%","14.7%","52.8%","24.2%","7.6%","0.4%","0.0%","0.2%","-","-","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG_City","Car","2001","-","0.0%","0.1%","14.6%","50.7%","24.7%","7.7%","1.9%","0.0%","0.1%","-","0.2%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
